timestamp,ticker,direction,setup,catalyst,reward_risk,decision,reason
2026-09-02T20:44:44.413507,SPY,BULLISH,True,EXECUTED,FILLED_MOCK,765.51,32
2026-09-02T20:45:22.310907,TSLA,BULLISH,True,EXECUTED,FILLED_MOCK,356.6,70
2026-09-02T20:45:48.393214,NFLX,BULLISH,True,EXECUTED,FILLED_MOCK,82.47,303
2026-09-02T20:45:49.562643,NFLX,BULLISH,True,EXECUTED,FILLED_MOCK,82.47,303
2026-09-02T20:46:25.787490,QQQ,BULLISH,True,REJECTED,Portfolio exposure,0,0
2026-09-02T20:46:51.942860,QQQ,BULLISH,True,REJECTED,Portfolio exposure,0,0
2026-09-02T20:46:53.076410,QQQ,BULLISH,True,REJECTED,Portfolio exposure,0,0
2026-09-02T20:47:29.385850,QQQ,BULLISH,True,REJECTED,Portfolio exposure,0,0
2026-09-02T20:47:55.635982,QQQ,BULLISH,True,REJECTED,Portfolio exposure,0,0
2026-09-02T20:47:56.708991,QQQ,BULLISH,True,REJECTED,Portfolio exposure,0,0
2026-09-02T20:48:32.750528,QQQ,BULLISH,True,REJECTED,Portfolio exposure,0,0
2026-09-02T20:48:59.017800,QQQ,BULLISH,True,REJECTED,Portfolio exposure,0,0
2026-09-02T20:48:59.876799,QQQ,BULLISH,True,REJECTED,Portfolio exposure,0,0
2026-09-02T20:49:35.988863,QQQ,BULLISH,True,REJECTED,Portfolio exposure,0,0
2026-09-02T20:50:02.259620,QQQ,BULLISH,True,REJECTED,Portfolio exposure,0,0
2026-09-02T20:50:03.373932,QQQ,BULLISH,True,REJECTED,Portfolio exposure,0,0
2026-09-02T20:50:39.580346,QQQ,BULLISH,True,REJECTED,Portfolio exposure,0,0
2026-09-02T20:51:05.828727,QQQ,BULLISH,True,REJECTED,Portfolio exposure,0,0
2026-09-02T20:51:06.922357,QQQ,BULLISH,True,REJECTED,Portfolio exposure,0,0
